playerID,tmID,target_year,prev_year,ppg_prev,rpg_prev,apg_prev,spg_prev,bpg_prev,mpg_prev,fg_pct_prev,efficiency_prev,player_rating_prev,is_elite_prev,GP_prev,GS_prev,gs_pct_prev,minutes_prev,ppg_vs_league,rpg_vs_league,efficiency_vs_league,rating_vs_league,win_pct_prev,conf_rank_prev,made_playoffs_prev,margin_prev,won_championship_prev,playoff_wins_prev,won_most_valuable_player,won_defensive_player_of_the_year,won_most_improved_player,won_wnba_finals_most_valuable_player,won_rookie_of_the_year,first_year,years_experience,career_most_valuable_player,career_defensive_player_of_the_year,career_most_improved_player,career_wnba_finals_most_valuable_player,career_rookie_of_the_year,career_total_awards,ppg_prev2,efficiency_prev2,player_rating_prev2,ppg_improvement,efficiency_improvement,rating_improvement,PostGP_prev,PostGS_prev,PostMinutes_prev,PostPoints_prev,PostRebounds_prev,PostAssists_prev,PostSteals_prev,PostBlocks_prev
aldrima01w,WAS,2,1,2.1724137931034484,0.8275862068965517,0.9655172413793104,0.3103448275862069,0.13793103448275862,9.379310344827585,0.46296296296296297,3.4827586206896552,12.132467532467533,0,29,0,0.0,272,-4.664176999918227,-2.1183045824448876,-7.460803603132314,-6.093074592996754,0.4375,4.5,1,-1.40625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,2,0,49,14,4,7,1,0
anderke01w,WAS,2,1,2.5,1.5333333333333334,2.5,0.8333333333333334,0.1,14.466666666666667,0.4264705882352941,5.9,15.794042553191488,0,30,9,0.3,434,-4.336590793021675,-1.4125574560081058,-5.043562223821969,-2.4314995722727986,0.4375,4.5,1,-1.40625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,2,2,30,2,5,5,0,0
andrame01w,CLE,2,1,8.28125,2.96875,2.34375,1.28125,0.3125,24.90625,0.4564102564102564,13.15625,20.26890756302521,0,32,18,0.5625,797,1.4446592069783248,0.02285921065856078,2.212687776178031,2.0433654375609223,0.53125,2.0,1,1.96875,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,6,5,166,21,17,14,6,3
arcaija01w,HOU,2,1,8.375,3.71875,1.875,1.3125,0.09375,30.53125,0.4678111587982833,13.71875,17.65528134254689,0,32,32,1.0,977,1.5384092069783248,0.7728592106585608,2.775187776178031,-0.5702607829173978,0.84375,2.0,1,12.78125,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,6,6,201,50,27,12,10,0
askamma01w,MIA,2,1,7.84375,7.21875,0.90625,0.53125,0.65625,27.15625,0.40669856459330145,15.625,21.488618784530388,0,32,32,1.0,869,1.0071592069783248,4.272859210658561,4.681437776178031,3.263076659066101,0.40625,6.0,1,-5.3125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0,0,0,0,0,0,0,0
azzije01w,UTA,2,1,9.6,2.7333333333333334,6.133333333333334,0.8,0.3333333333333333,37.266666666666666,0.4519230769230769,17.733333333333334,18.43563025210084,0,15,15,1.0,559,2.7634092069783245,-0.21255745600810583,6.789771109511365,0.21008812663655263,0.5625,5.0,1,0.1875,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0,0,0,0,0,0,0,0
badertr01w,CLE,2,1,1.88,0.44,0.84,0.68,0.04,8.04,0.3541666666666667,3.16,15.448101265822784,0,25,0,0.0,201,-4.956590793021675,-2.5058907893414393,-7.783562223821969,-2.7774408596415032,0.53125,2.0,1,1.96875,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,5,0,36,8,1,1,2,0
barnequ01w,SEA,2,1,6.741935483870968,2.7096774193548385,1.064516129032258,0.6129032258064516,1.064516129032258,22.741935483870968,0.41784037558685444,10.193548387096774,16.508502024291495,0,31,23,0.7419354838709677,705,-0.09465530915070719,-0.2362133699866007,-0.750013836725195,-1.7170401011727918,0.1875,8.0,1,-10.90625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0,0,0,0,0,0,0,0
bauerca01w,CHA,2,1,2.6206896551724137,1.9310344827586208,0.4827586206896552,0.27586206896551724,0.10344827586206896,13.724137931034482,0.4027777777777778,4.448275862068965,8.72626728110599,0,29,18,0.6206896551724138,398,-4.2159011378492615,-1.0148563065828184,-6.495286361753004,-9.499274844358297,0.25,8.0,1,-7.59375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0,0,0,0,0,0,0,0
beviltu01w,POR,2,1,4.78125,2.96875,2.78125,1.28125,0.1875,24.875,0.35714285714285715,9.9375,15.70673076923077,0,32,32,1.0,796,-2.055340793021675,0.02285921065856078,-1.006062223821969,-2.518811356233517,0.3125,7.0,1,-4.625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0,0,0,0,0,0,0,0
